,NumandName,market,product,Num,Name
397,2505　國揚,上市,建材營造業,2505,國揚
398,2506　太設,上市,建材營造業,2506,太設
399,2509　全坤建,上市,建材營造業,2509,全坤建
400,2511　太子,上市,建材營造業,2511,太子
401,2514　龍邦,上市,其他業,2514,龍邦
402,2515　中工,上市,建材營造業,2515,中工
403,2516　新建,上市,建材營造業,2516,新建
404,2520　冠德,上市,建材營造業,2520,冠德
405,2524　京城,上市,建材營造業,2524,京城
406,2527　宏璟,上市,建材營造業,2527,宏璟
407,2528　皇普,上市,建材營造業,2528,皇普
408,2530　華建,上市,建材營造業,2530,華建
409,2534　宏盛,上市,建材營造業,2534,宏盛
410,2535　達欣工,上市,建材營造業,2535,達欣工
411,2536　宏普,上市,建材營造業,2536,宏普
412,2537　聯上發,上市,建材營造業,2537,聯上發
413,2538　基泰,上市,建材營造業,2538,基泰
414,2539　櫻花建,上市,建材營造業,2539,櫻花建
415,2540　愛山林,上市,建材營造業,2540,愛山林
416,2542　興富發,上市,建材營造業,2542,興富發
417,2543　皇昌,上市,建材營造業,2543,皇昌
418,2545　皇翔,上市,建材營造業,2545,皇翔
419,2546　根基,上市,建材營造業,2546,根基
420,2547　日勝生,上市,建材營造業,2547,日勝生
421,2548　華固,上市,建材營造業,2548,華固
422,2597　潤弘,上市,建材營造業,2597,潤弘
423,2601　益航,上市,貿易百貨業,2601,益航
424,2603　長榮,上市,航運業,2603,長榮
425,2605　新興,上市,航運業,2605,新興
426,2606　裕民,上市,航運業,2606,裕民
427,2607　榮運,上市,航運業,2607,榮運
428,2608　嘉里大榮,上市,航運業,2608,嘉里大榮
429,2609　陽明,上市,航運業,2609,陽明
430,2610　華航,上市,航運業,2610,華航
431,2611　志信,上市,航運業,2611,志信
432,2612　中航,上市,航運業,2612,中航
433,2613　中櫃,上市,航運業,2613,中櫃
434,2614　東森,上市,其他業,2614,東森
435,2615　萬海,上市,航運業,2615,萬海
436,2616　山隆,上市,油電燃氣業,2616,山隆
437,2617　台航,上市,航運業,2617,台航
438,2618　長榮航,上市,航運業,2618,長榮航
439,2630　亞航,上市,航運業,2630,亞航
440,2633　台灣高鐵,上市,航運業,2633,台灣高鐵
441,2634　漢翔,上市,航運業,2634,漢翔
442,2636　台驊投控,上市,航運業,2636,台驊投控
443,2637　慧洋-KY,上市,航運業,2637,慧洋-KY
444,2642　宅配通,上市,航運業,2642,宅配通
445,2645　長榮航太,上市,航運業,2645,長榮航太
446,2701　萬企,上市,觀光事業,2701,萬企
447,2702　華園,上市,觀光事業,2702,華園
448,2704　國賓,上市,觀光事業,2704,國賓
449,2705　六福,上市,觀光事業,2705,六福
450,2706　第一店,上市,觀光事業,2706,第一店
451,2707　晶華,上市,觀光事業,2707,晶華
452,2712　遠雄來,上市,觀光事業,2712,遠雄來
453,2722　夏都,上市,觀光事業,2722,夏都
454,2723　美食-KY,上市,觀光事業,2723,美食-KY
455,2727　王品,上市,觀光事業,2727,王品
456,2731　雄獅,上市,觀光事業,2731,雄獅
457,2739　寒舍,上市,觀光事業,2739,寒舍
458,2748　雲品,上市,觀光事業,2748,雲品
459,2753　八方雲集,上市,觀光事業,2753,八方雲集
460,2801　彰銀,上市,金融保險業,2801,彰銀
461,2809　京城銀,上市,金融保險業,2809,京城銀
462,2812　台中銀,上市,金融保險業,2812,台中銀
463,2816　旺旺保,上市,金融保險業,2816,旺旺保
464,2820　華票,上市,金融保險業,2820,華票
465,2832　台產,上市,金融保險業,2832,台產
466,2834　臺企銀,上市,金融保險業,2834,臺企銀
467,2836　高雄銀,上市,金融保險業,2836,高雄銀
468,2838　聯邦銀,上市,金融保險業,2838,聯邦銀
469,2845　遠東銀,上市,金融保險業,2845,遠東銀
470,2849　安泰銀,上市,金融保險業,2849,安泰銀
471,2850　新產,上市,金融保險業,2850,新產
472,2851　中再保,上市,金融保險業,2851,中再保
473,2852　第一保,上市,金融保險業,2852,第一保
474,2855　統一證,上市,金融保險業,2855,統一證
475,2867　三商壽,上市,金融保險業,2867,三商壽
476,2880　華南金,上市,金融保險業,2880,華南金
477,2881　富邦金,上市,金融保險業,2881,富邦金
478,2882　國泰金,上市,金融保險業,2882,國泰金
479,2883　開發金,上市,金融保險業,2883,開發金
480,2884　玉山金,上市,金融保險業,2884,玉山金
481,2885　元大金,上市,金融保險業,2885,元大金
482,2886　兆豐金,上市,金融保險業,2886,兆豐金
483,2887　台新金,上市,金融保險業,2887,台新金
484,2888　新光金,上市,金融保險業,2888,新光金
485,2889　國票金,上市,金融保險業,2889,國票金
486,2890　永豐金,上市,金融保險業,2890,永豐金
487,2891　中信金,上市,金融保險業,2891,中信金
488,2892　第一金,上市,金融保險業,2892,第一金
489,2897　王道銀行,上市,金融保險業,2897,王道銀行
490,2901　欣欣,上市,貿易百貨業,2901,欣欣
491,2903　遠百,上市,貿易百貨業,2903,遠百
492,2904　匯僑,上市,其他業,2904,匯僑
493,2905　三商,上市,貿易百貨業,2905,三商
494,2906　高林,上市,貿易百貨業,2906,高林
495,2908　特力,上市,貿易百貨業,2908,特力
496,2910　統領,上市,貿易百貨業,2910,統領
497,2911　麗嬰房,上市,貿易百貨業,2911,麗嬰房
